net,metric,stat_gr,df_gr,ges_gr,p_gr,stat_st,df_st,ges_st,p_st,stat_int,df_int,ges_int,p_int,p_gr_fdr,p_st_fdr,p_int_fdr,p_gr_bonf,p_st_bonf,p_int_bonf
FPN,D,2.42280657914125,"1, 25",0.038791520391644,0.132150555570156,25.0128480166502,"1, 25",0.368635603256722,3.71474050452455E-05,0.297104669728247,"1, 25",0.006887505664067,0.590533371610669,0.172103049114621,0.000104012734127,0.734885973559943,1,0.002080254682534,1
FPN,S,2.06691237416462,"1, 25",0.04359449626917,0.162926184256248,9.91660779763003,"1, 25",0.15108442042276,0.004208785843634,2.68098988896912E-05,"1, 25",4.81157222097681E-07,0.995909806610942,0.207360598144315,0.008417571687268,0.995909806610942,1,0.235692007243495,1
FPN,CP,23.5292089384989,"1, 25",0.38079379293958,5.48627022087976E-05,2.05298679402075,"1, 25",0.027673961299513,0.164295251946312,0.241011006027262,"1, 25",0.003330132099145,0.627758777031242,0.000161700595984,0.20910304793167,0.742934305822607,0.003072311323693,1,1
FPN,LP,0.003988157092976,"1, 25",7.20243817623562E-05,0.95014780570451,9.63970373244779,"1, 25",0.174567946334582,0.004687721101171,8.0091034128089,"1, 25",0.149452141783954,0.009047819200404,0.967423220353683,0.009052151091917,0.018765847230467,1,0.26251238166559,0.50667787522262
FPN,Sigma,202.486989433265,"1, 25",0.81097206288237,1.71488720221429E-13,5.77044092002756,"1, 25",0.097925230372078,0.024050584914201,19.8134530271903,"1, 25",0.27152867380701,0.000154537852126,2.40084208310001E-12,0.039612728093978,0.000412100939004,9.60336833240005E-12,1,0.008654119719077
SAL,EG,2.55655449884113,"1, 25",0.064650263348708,0.122401192627941,28.9320392105521,"1, 25",0.272768081777905,1.40291271162392E-05,14.1029727936721,"1, 25",0.154571410785039,0.000925990460997,0.163201590170588,4.6213595206435E-05,0.002074218632633,1,0.000785631118509,0.051855465815833
SAL,EL,144.403697763547,"1, 25",0.717776303273452,6.97059318673017E-12,108.471313732718,"1, 25",0.708320257336706,1.40258301104248E-10,5.74258775872334,"1, 25",0.11391746488629,0.024360615573129,7.28171853537177E-11,9.81808107729734E-10,0.043102021385003,3.9035321845689E-10,7.85446486183787E-09,1
SAL,D,84.2707903733603,"1, 25",0.691469480024848,1.75119288633948E-09,270.139542781906,"1, 25",0.783608639294233,6.53549440763176E-15,2.29852449543602,"1, 25",0.029891024215387,0.142040525812683,1.40095430907159E-08,1.08784941838801E-13,0.209322880145006,9.80668016350111E-08,3.65987686827379E-13,1
SAL,S,12.203706326257,"1, 25",0.239284446155694,0.001795043229403,51.7296557814956,"1, 25",0.423913016673217,1.54515883681956E-07,0.128949335865668,"1, 25",0.001830932434813,0.722539071521523,0.003590086458806,7.21074123849128E-07,0.778119000100102,0.100522420846569,8.65288948618953E-06,1
SAL,CP,59.4226484435981,"1, 25",0.481789535870759,4.59044370407776E-08,130.289077750669,"1, 25",0.760368820574874,2.08303172552094E-11,5.33066693505611,"1, 25",0.114906281740094,0.029503609791539,2.57064847428355E-07,1.94416294381955E-10,0.048594180833123,2.57064847428355E-06,1.16649776629173E-09,1
SAL,LP,142.893346038618,"1, 25",0.78660363502303,7.80184128789832E-12,158.019395642306,"1, 25",0.691782747966003,2.63661287757921E-12,0.013055455379085,"1, 25",0.000185401773827,0.90994402284388,7.28171853537177E-11,2.95300642288872E-11,0.926488459622859,4.36903112122306E-10,1.47650321144436E-10,1
